Class/Folder Name,[Dep_In, Dep_Out, NOC, NumAnc, NumAssEl_nsb, NumAssEl_ssc, NumDesc, abstractness, avrgFieldVisibility, avrgMethodVisibility, eC_Attr, eC_Par, getters, iC_Attr, iC_Par, iFImpl, nesting, numCls, numConstants, numFields, numInterf, numOps, numOpsCls, packagenesting, setters, staticness]
CH.ifa.draw.figures.InsertImageCommand,3,2,0,1,,,0,,0,2.666666667,1,1,0,1,1,0,0,,0,1,,3,,,0,0
CH.ifa.draw.figures.InsertImageCommand$UndoActivity,1,6,0,1,,,0,,0.333333333,2.166666667,0,0,1,3,3,0,1,,0,3,,6,,,1,0
CH.ifa.draw.figures.LineConnection,7,22,2,2,,,2,,1,2.777777778,0,1,2,4,18,1,0,,1,4,,36,,,3,0
CH.ifa.draw.figures.LineDecoration,4,0,0,0,,,0,,,3,2,2,0,0,0,1,0,,0,0,,1,,,0,0
CH.ifa.draw.figures.LineFigure,6,2,0,2,,,0,,0,3,0,0,0,2,0,0,0,,1,2,,7,,,1,0
CH.ifa.draw.figures.NumberTextFigure,1,2,0,3,,,0,,0,3,0,0,1,2,0,0,0,,1,2,,4,,,1,0
CH.ifa.draw.figures.PolyLineConnector,1,3,0,2,,,0,,0,2.666666667,0,0,0,1,2,0,0,,1,1,,3,,,0,0
CH.ifa.draw.figures.PolyLineFigure,3,14,2,1,,,4,,2,2.794117647,1,1,4,10,4,0,0,,5,10,,34,,,5,0.029411765
CH.ifa.draw.figures.PolyLineHandle,2,7,0,2,,,0,,0,2.333333333,0,0,0,1,6,0,0,,0,1,,6,,,0,0
CH.ifa.draw.figures.PolyLineHandle$UndoActivity,1,3,1,1,,,1,,0,2.875,0,0,2,2,1,0,1,,0,2,,8,,,2,0
CH.ifa.draw.figures.PolyLineLocator,1,2,0,1,,,0,,1,3,0,0,0,1,1,0,0,,0,1,,2,,,0,0
CH.ifa.draw.figures.RadiusHandle,1,6,0,1,,,0,,0,2.857142857,0,0,0,1,5,0,0,,1,1,,7,,,0,0
CH.ifa.draw.figures.RadiusHandle$UndoActivity,1,2,0,1,,,0,,0,2.666666667,0,0,1,1,1,0,1,,0,1,,6,,,1,0
CH.ifa.draw.figures.RectangleFigure,5,5,2,2,,,2,,0,2.9,0,0,0,3,2,0,0,,1,3,,10,,,0,0
CH.ifa.draw.figures.RoundRectangleFigure,5,8,0,2,,,0,,0,2.928571429,0,1,1,6,2,0,0,,2,6,,14,,,1,0
CH.ifa.draw.figures.ScribbleTool,2,6,0,1,,,0,,0,2.111111111,0,0,1,4,2,0,0,,0,4,,9,,,1,0
CH.ifa.draw.figures.ShortestDistanceConnector,1,5,0,1,,,0,,0,2.8,0,0,0,1,4,0,0,,1,1,,5,,,0,0
CH.ifa.draw.figures.TextFigure,7,24,2,2,,,2,,0,2.666666667,0,0,3,15,9,2,0,,1,15,,39,,,7,0.128205128
CH.ifa.draw.figures.TextTool,7,7,1,2,,,1,,0,2.384615385,0,0,1,2,5,0,0,,0,2,,13,,,1,0
CH.ifa.draw.figures.TextTool$UndoActivity,1,3,1,1,,,1,,0,2.777777778,0,0,2,2,1,0,1,,0,2,,9,,,3,0
CH.ifa.draw.figures.UngroupCommand,2,1,0,1,,,0,,,2.75,0,0,0,0,1,0,0,,0,0,,4,,,0,0
CH.ifa.draw.figures.UngroupCommand$UndoActivity,1,1,0,1,,,0,,,2.75,0,0,0,0,1,0,1,,0,0,,4,,,0,0
CH.ifa.draw.framework,,,,,,,,0.818181818,,,,,,,,,,4,,,18,,224,3,,
CH.ifa.draw.framework.ConnectionFigure,31,4,0,0,,,0,,,3,7,24,2,0,4,2,0,,0,0,,20,,,1,0
CH.ifa.draw.framework.Connector,22,2,0,0,,,0,,,3,9,13,0,0,2,1,0,,0,0,,6,,,0,0
CH.ifa.draw.framework.Drawing,33,22,0,0,,,0,,,3,4,29,3,0,22,2,0,,0,0,,39,,,1,0
CH.ifa.draw.framework.DrawingChangeEvent,8,2,0,0,,,0,,0,3,0,6,2,1,1,0,0,,0,1,,3,,,0,0
CH.ifa.draw.framework.DrawingChangeListener,4,2,0,0,,,0,,,3,0,4,0,0,2,0,0,,0,0,,2,,,0,0
CH.ifa.draw.framework.DrawingEditor,67,3,0,0,,,0,,,3,4,63,1,0,3,1,0,,0,0,,9,,,0,0
CH.ifa.draw.framework.DrawingView,140,16,0,0,,,0,,,3,6,134,9,0,16,1,0,,0,0,,49,,,6,0
CH.ifa.draw.framework.Figure,203,5,0,0,,,0,,3,3,20,183,2,1,4,1,0,,1,1,,34,,,2,0
CH.ifa.draw.framework.FigureChangeEvent,59,4,0,0,,,0,,0,2.6,0,47,2,2,2,0,0,,1,2,,5,,,0,0.2
CH.ifa.draw.framework.FigureChangeListener,15,5,0,0,,,0,,,3,1,14,0,0,5,0,0,,0,0,,5,,,0,0
CH.ifa.draw.framework.FigureEnumeration,30,0,0,0,,,0,,,3,0,30,0,0,0,0,0,,0,0,,1,,,0,0
CH.ifa.draw.framework.FigureSelection,0,0,0,0,,,0,,,3,0,0,2,0,0,0,0,,0,0,,2,,,0,0
CH.ifa.draw.framework.FigureSelectionListener,6,1,0,0,,,0,,,3,0,6,0,0,1,0,0,,0,0,,1,,,0,0
CH.ifa.draw.framework.Handle,7,8,0,0,,,0,,3,3,2,5,1,1,7,0,0,,1,1,,13,,,1,0
CH.ifa.draw.framework.JHotDrawException,0,0,0,0,,,0,,,3,0,0,0,0,0,0,0,,0,0,,2,,,0,0
CH.ifa.draw.framework.JHotDrawRuntimeException,6,0,0,0,,,0,,,3,0,0,0,0,0,0,0,,0,0,,2,,,0,0
CH.ifa.draw.framework.Locator,16,1,0,0,,,0,,,3,5,11,0,0,1,1,0,,0,0,,1,,,0,0
CH.ifa.draw.framework.Painter,9,1,0,0,,,0,,,3,2,7,0,0,1,0,0,,0,0,,1,,,0,0
CH.ifa.draw.framework.PointConstrainer,4,0,0,0,,,0,,,3,1,3,2,0,0,0,0,,0,0,,3,,,0,0
CH.ifa.draw.framework.Tool,17,3,0,0,,,0,,,3,9,8,1,0,3,0,0,,0,0,,17,,,3,0
CH.ifa.draw.framework.ToolListener,8,0,0,0,,,0,,,3,0,8,0,0,0,0,0,,0,0,,6,,,0,0
CH.ifa.draw.framework.ViewChangeListener,8,4,0,0,,,0,,,3,0,8,0,0,4,0,0,,0,0,,3,,,0,0
CH.ifa.draw.samples.javadraw,,,,,,,,0,,,,,,,,,,16,,,0,,85,4,,
CH.ifa.draw.samples.javadraw.AnimationDecorator,2,7,0,2,,,0,,0,3,0,0,0,4,3,0,0,,1,4,,10,,,0,0
CH.ifa.draw.samples.javadraw.Animator,4,6,0,0,,,0,,0,3,2,0,0,4,2,0,0,,1,4,,4,,,0,0
CH.ifa.draw.samples.javadraw.BouncingDrawing,2,6,0,3,,,0,,0,3,0,0,0,2,4,1,0,,1,2,,5,,,0,0
CH.ifa.draw.samples.javadraw.FollowURLTool,1,2,0,1,,,0,,0,2.333333333,0,0,0,1,1,0,0,,0,1,,3,,,0,0
CH.ifa.draw.samples.javadraw.JavaDrawApp,10,3,0,2,,,0,,0,2.142857143,4,4,0,3,0,0,0,,0,3,,14,,,0,0.142857143
CH.ifa.draw.samples.javadraw.JavaDrawApp$1,1,3,0,1,,,0,,0,2,0,0,0,1,2,0,0,,0,1,,2,,,0,0
CH.ifa.draw.samples.javadraw.JavaDrawApp$2,1,3,0,1,,,0,,0,2,0,0,0,1,2,0,0,,0,1,,2,,,0,0
CH.ifa.draw.samples.javadraw.JavaDrawApp$3,1,3,0,1,,,0,,0,2,0,0,0,1,2,0,0,,0,1,,2,,,0,0
CH.ifa.draw.samples.javadraw.JavaDrawApp$4,1,3,0,1,,,0,,0,2,0,0,0,1,2,0,0,,0,1,,2,,,0,0
CH.ifa.draw.samples.javadraw.JavaDrawApplet,2,2,0,1,,,0,,0,2.625,1,1,0,2,0,0,0,,0,2,,8,,,0,0
CH.ifa.draw.samples.javadraw.JavaDrawApplet$1,1,2,0,0,,,0,,0,2,0,0,0,1,1,0,0,,0,1,,2,,,0,0
CH.ifa.draw.samples.javadraw.JavaDrawViewer,0,9,0,0,,,0,,0,2.692307692,0,0,1,5,4,1,0,,0,5,,13,,,1,0
CH.ifa.draw.samples.javadraw.MySelectionTool,1,2,0,2,,,0,,,2.666666667,0,0,0,0,2,0,0,,0,0,,3,,,0,0
CH.ifa.draw.samples.javadraw.PatternPainter,0,3,0,0,,,0,,0,2,0,0,0,1,2,1,0,,0,1,,3,,,0,0
CH.ifa.draw.samples.javadraw.URLTool,5,8,0,1,,,0,,0,1.3,1,2,1,2,6,0,0,,0,2,,10,,,1,0.1
CH.ifa.draw.samples.javadraw.URLTool$1,1,2,0,0,,,0,,0,2,0,0,0,1,1,0,0,,0,1,,2,,,0,0
CH.ifa.draw.samples.net,,,,,,,,0,,,,,,,,,,2,,,0,,16,4,,
CH.ifa.draw.samples.net.NetApp,1,0,0,1,,,0,,,2,0,0,0,0,0,0,0,,0,0,,3,,,0,0.333333333
CH.ifa.draw.samples.net.NodeFigure,1,3,0,3,,,0,,0,1.615384615,0,0,0,3,0,0,0,,1,3,,13,,,0,0
CH.ifa.draw.samples.nothing,,,,,,,,0,,,,,,,,,,2,,,0,,5,4,,
CH.ifa.draw.samples.nothing.NothingApp,1,0,0,1,,,0,,,2,0,0,0,0,0,0,0,,0,0,,3,,,0,0.333333333
CH.ifa.draw.samples.nothing.NothingApplet,0,0,0,1,,,0,,,2.5,0,0,0,0,0,0,0,,0,0,,2,,,0,0
CH.ifa.draw.samples.pert,,,,,,,,0,,,,,,,,,,5,,,0,,44,4,,
CH.ifa.draw.samples.pert.PertApplet,0,1,0,1,,,0,,0,2.5,0,0,0,1,0,0,0,,1,1,,2,,,0,0
CH.ifa.draw.samples.pert.PertApplication,1,1,0,1,,,0,,0,2,0,0,0,1,0,0,0,,1,1,,3,,,0,0.333333333
CH.ifa.draw.samples.pert.PertDependency,3,8,0,3,,,0,,0,3,0,0,0,2,6,0,0,,1,2,,5,,,0,0
CH.ifa.draw.samples.pert.PertFigure,5,14,0,2,,,0,,0,2.3125,0,4,0,6,8,0,0,,2,6,,32,,,2,0
CH.ifa.draw.samples.pert.PertFigureCreationTool,2,1,0,2,,,0,,,2.5,0,0,0,0,1,0,0,,0,0,,2,,,0,0
CH.ifa.draw.standard,,,,,,,,0.153846154,,,,,,,,,,90,,,1,,780,3,,
CH.ifa.draw.standard.AbstractCommand,0,17,26,0,,,31,,0,2.608695652,0,0,3,5,12,3,0,,0,5,,23,,,4,0
CH.ifa.draw.standard.AbstractCommand$EventDispatcher,6,5,0,0,,,0,,0,3,2,2,0,2,3,0,1,,0,2,,6,,,0,0
CH.ifa.draw.standard.AbstractConnector,0,9,3,0,,,7,,0,2.909090909,0,0,0,3,6,1,0,,1,3,,11,,,0,0
CH.ifa.draw.standard.AbstractFigure,0,12,4,0,,,25,,0,2.947368421,0,0,2,4,8,1,0,,1,4,,38,,,2,0
CH.ifa.draw.standard.AbstractHandle,0,11,7,0,,,23,,1,3,0,0,1,3,8,1,0,,1,3,,14,,,1,0
CH.ifa.draw.standard.AbstractLocator,0,4,5,0,,,5,,0,2.8,0,0,0,1,3,2,0,,1,1,,5,,,0,0
CH.ifa.draw.standard.AbstractTool,0,16,13,0,,,19,,0.571428571,2.814814815,0,0,2,7,9,2,0,,0,7,,27,,,4,0
CH.ifa.draw.standard.AbstractTool$EventDispatcher,6,5,0,0,,,0,,0,3,2,2,0,2,3,0,1,,0,2,,9,,,0,0
CH.ifa.draw.standard.ActionTool,0,2,1,1,,,1,,,3,0,0,0,0,2,0,0,,0,0,,4,,,0,0
CH.ifa.draw.standard.AlignCommand,1,4,0,1,,,0,,0,2.5,0,0,1,1,3,0,0,,0,1,,6,,,1,0
